Country,Year,Currency is Euro,Previous Year Currency is Euro
Austria,2004,1,1
Austria,2005,1,1
Austria,2006,1,1
Austria,2007,1,1
Austria,2008,1,1
Austria,2009,1,1
Austria,2010,1,1
Austria,2011,1,1
Austria,2012,1,1
Austria,2013,1,1
Austria,2014,1,1
Austria,2015,1,1
Austria,2016,1,1
Austria,2017,1,1
Austria,2018,1,1
Austria,2019,1,1
Belgium,2004,1,1
Belgium,2005,1,1
Belgium,2006,1,1
Belgium,2007,1,1
Belgium,2008,1,1
Belgium,2009,1,1
Belgium,2010,1,1
Belgium,2011,1,1
Belgium,2012,1,1
Belgium,2013,1,1
Belgium,2014,1,1
Belgium,2015,1,1
Belgium,2016,1,1
Belgium,2017,1,1
Belgium,2018,1,1
Belgium,2019,1,1
Cyprus,2004,0,0
Cyprus,2005,0,0
Cyprus,2006,0,0
Cyprus,2007,0,0
Cyprus,2008,1,0
Cyprus,2009,1,1
Cyprus,2010,1,1
Cyprus,2011,1,1
Cyprus,2012,1,1
Cyprus,2013,1,1
Cyprus,2014,1,1
Cyprus,2015,1,1
Cyprus,2016,1,1
Cyprus,2017,1,1
Cyprus,2018,1,1
Cyprus,2019,1,1
Czech Republic,2004,0,0
Czech Republic,2005,0,0
Czech Republic,2006,0,0
Czech Republic,2007,0,0
Czech Republic,2008,0,0
Czech Republic,2009,0,0
Czech Republic,2010,0,0
Czech Republic,2011,0,0
Czech Republic,2012,0,0
Czech Republic,2013,0,0
Czech Republic,2014,0,0
Czech Republic,2015,0,0
Czech Republic,2016,0,0
Czech Republic,2017,0,0
Czech Republic,2018,0,0
Czech Republic,2019,0,0
Denmark,2004,0,0
Denmark,2005,0,0
Denmark,2006,0,0
Denmark,2007,0,0
Denmark,2008,0,0
Denmark,2009,0,0
Denmark,2010,0,0
Denmark,2011,0,0
Denmark,2012,0,0
Denmark,2013,0,0
Denmark,2014,0,0
Denmark,2015,0,0
Denmark,2016,0,0
Denmark,2017,0,0
Denmark,2018,0,0
Denmark,2019,0,0
Estonia,2004,0,0
Estonia,2005,0,0
Estonia,2006,0,0
Estonia,2007,0,0
Estonia,2008,0,0
Estonia,2009,0,0
Estonia,2010,0,0
Estonia,2011,1,0
Estonia,2012,1,1
Estonia,2013,1,1
Estonia,2014,1,1
Estonia,2015,1,1
Estonia,2016,1,1
