Country,Year,Is Election Year,Years Since Last Election
Austria,2004,0,2
Austria,2005,0,3
Austria,2006,1,4
Austria,2007,0,1
Austria,2008,1,2
Austria,2009,0,1
Austria,2010,0,2
Austria,2011,0,3
Austria,2012,0,4
Austria,2013,1,5
Austria,2014,0,1
Austria,2015,0,2
Austria,2016,0,3
Austria,2017,1,4
Austria,2018,0,1
Austria,2019,1,2
Belgium,2004,0,1
Belgium,2005,0,2
Belgium,2006,0,3
Belgium,2007,1,4
Belgium,2008,0,1
Belgium,2009,0,2
Belgium,2010,1,3
Belgium,2011,0,1
Belgium,2012,0,2
Belgium,2013,0,3
Belgium,2014,1,4
Belgium,2015,0,1
Belgium,2016,0,2
Belgium,2017,0,3
Belgium,2018,0,4
Belgium,2019,1,5
Cyprus,2004,0,3
Cyprus,2005,0,4
Cyprus,2006,0,5
Cyprus,2007,0,6
Cyprus,2008,1,7
Cyprus,2009,0,1
Cyprus,2010,0,2
Cyprus,2011,1,3
Cyprus,2012,0,1
Cyprus,2013,0,2
Cyprus,2014,0,3
Cyprus,2015,0,4
Cyprus,2016,1,5
Cyprus,2017,0,1
Cyprus,2018,0,2
Cyprus,2019,0,3
Czech Republic,2004,0,2
Czech Republic,2005,0,3
Czech Republic,2006,1,4
Czech Republic,2007,0,1
Czech Republic,2008,0,2
Czech Republic,2009,0,3
Czech Republic,2010,1,4
Czech Republic,2011,0,1
Czech Republic,2012,0,2
Czech Republic,2013,1,3
Czech Republic,2014,0,1
Czech Republic,2015,0,2
Czech Republic,2016,0,3
Czech Republic,2017,1,4
Czech Republic,2018,0,1
Czech Republic,2019,0,2
Denmark,2004,0,3
Denmark,2005,1,4
Denmark,2006,0,1
Denmark,2007,1,2
Denmark,2008,0,1
Denmark,2009,0,2
Denmark,2010,0,3
Denmark,2011,1,4
Denmark,2012,0,1
Denmark,2013,0,2
Denmark,2014,0,3
Denmark,2015,1,4
Denmark,2016,0,1
Denmark,2017,0,2
Denmark,2018,0,3
Denmark,2019,1,4
Estonia,2004,0,1
Estonia,2005,0,2
Estonia,2006,0,3
Estonia,2007,1,4
Estonia,2008,0,1
Estonia,2009,0,2
Estonia,2010,0,3
Estonia,2011,1,4
Estonia,2012,0,1
Estonia,2013,0,2
Estonia,2014,0,3
Estonia,2015,1,4
Estonia,2016,0,1
Estonia,2017,0,2
Estonia,2018,0,3
Estonia,2019,1,4
Finland,2004,0,1
Finland,2005,0,2
Finland,2006,0,3
Finland,2007,1,4
Finland,2008,0,1
Finland,2009,0,2
Finland,2010,0,3
Finland,2011,1,4
Finland,2012,0,1
Finland,2013,0,2
Finland,2014,0,3
Finland,2015,1,4
Finland,2016,0,1
Finland,2017,0,2
Finland,2018,0,3
Finland,2019,1,4
France,2004,0,2
France,2005,1,3
France,2006,0,1
France,2007,0,2
France,2008,0,3
France,2009,0,4
France,2010,0,5
France,2011,0,6
France,2012,1,7
France,2013,0,1
France,2014,0,2
France,2015,0,3
France,2016,0,4
France,2017,1,5
France,2018,0,1
France,2019,0,2
Germany,2004,0,2
Germany,2005,1,3
Germany,2006,0,1
Germany,2007,0,2
Germany,2008,0,3
Germany,2009,1,4
Germany,2010,0,1
Germany,2011,0,2
Germany,2012,0,3
Germany,2013,1,4
Germany,2014,0,1
Germany,2015,0,2
Germany,2016,0,3
Germany,2017,1,4
Germany,2018,0,1
Germany,2019,0,2
Greece,2004,1,4
Greece,2005,0,1
Greece,2006,0,2
Greece,2007,0,3
Greece,2008,0,4
Greece,2009,1,5
Greece,2010,0,1
Greece,2011,0,2
Greece,2012,0,3
Greece,2013,0,4
Greece,2014,1,5
Greece,2015,0,1
Greece,2016,0,2
Greece,2017,0,3
Greece,2018,0,4
Greece,2019,1,5
Hungary,2004,0,2
Hungary,2005,0,3
Hungary,2006,1,4
Hungary,2007,0,1
Hungary,2008,0,2
Hungary,2009,0,3
Hungary,2010,1,4
Hungary,2011,0,1
Hungary,2012,0,2
Hungary,2013,0,3
Hungary,2014,1,4
Hungary,2015,0,1
Hungary,2016,0,2
Hungary,2017,0,3
Hungary,2018,1,4
Hungary,2019,0,1
Ireland,2004,0,2
Ireland,2005,0,3
Ireland,2006,0,4
Ireland,2007,1,5
Ireland,2008,0,1
Ireland,2009,0,2
Ireland,2010,0,3
Ireland,2011,1,4
Ireland,2012,0,1
Ireland,2013,0,2
Ireland,2014,0,3
Ireland,2015,0,4
Ireland,2016,0,5
Ireland,2017,0,6
Ireland,2018,1,7
Ireland,2019,0,1
Italy,2004,0,3
Italy,2005,0,4
Italy,2006,1,5
Italy,2007,0,1
Italy,2008,1,2
Italy,2009,0,1
Italy,2010,0,2
Italy,2011,0,3
Italy,2012,0,4
Italy,2013,1,5
Italy,2014,0,1
Italy,2015,0,2
Italy,2016,0,3
Italy,2017,0,4
Italy,2018,1,5
Italy,2019,0,1
Latvia,2004,0,2
Latvia,2005,0,3
Latvia,2006,1,4
Latvia,2007,0,1
Latvia,2008,0,2
Latvia,2009,0,3
Latvia,2010,1,4
Latvia,2011,1,1
Latvia,2012,0,1
Latvia,2013,0,2
Latvia,2014,1,3
Latvia,2015,0,1
Latvia,2016,0,2
Latvia,2017,0,3
Latvia,2018,1,4
Latvia,2019,0,1
Lithuania,2004,1,4
Lithuania,2005,0,1
Lithuania,2006,0,2
Lithuania,2007,0,3
Lithuania,2008,1,4
Lithuania,2009,0,1
Lithuania,2010,0,2
Lithuania,2011,0,3
Lithuania,2012,1,4
Lithuania,2013,0,1
Lithuania,2014,0,2
Lithuania,2015,0,3
Lithuania,2016,1,4
Lithuania,2017,0,1
Lithuania,2018,0,2
Lithuania,2019,0,3
Luxembourg,2004,1,5
Luxembourg,2005,0,1
Luxembourg,2006,0,2
Luxembourg,2007,0,3
Luxembourg,2008,0,4
Luxembourg,2009,1,5
Luxembourg,2010,0,1
Luxembourg,2011,0,2
Luxembourg,2012,0,3
Luxembourg,2013,1,4
Luxembourg,2014,0,1
Luxembourg,2015,0,2
Luxembourg,2016,0,3
Luxembourg,2017,0,4
Luxembourg,2018,1,5
Luxembourg,2019,0,1
Malta,2004,0,1
Malta,2005,0,2
Malta,2006,0,3
Malta,2007,0,4
Malta,2008,1,5
Malta,2009,0,1
Malta,2010,0,2
Malta,2011,0,3
Malta,2012,0,4
Malta,2013,1,5
Malta,2014,0,1
Malta,2015,0,2
Malta,2016,0,3
Malta,2017,1,4
Malta,2018,0,1
Malta,2019,0,2
Netherlands,2004,0,1
Netherlands,2005,0,2
Netherlands,2006,1,3
Netherlands,2007,0,1
Netherlands,2008,0,2
Netherlands,2009,0,3
Netherlands,2010,1,4
Netherlands,2011,0,1
Netherlands,2012,1,2
Netherlands,2013,0,1
Netherlands,2014,0,2
Netherlands,2015,0,3
