Year,EUR-USD Exchange Rate Q1,EUR-USD Exchange Rate Q2,EUR-USD Exchange Rate Q3,EUR-USD Exchange Rate Q4,Previous Year EUR-USD Exchange Rate Q1,Previous Year EUR-USD Exchange Rate Q2,Previous Year EUR-USD Exchange Rate Q3,Previous Year EUR-USD Exchange Rate Q4
2004,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189
2005,1.311,1.259,1.22,1.188,1.25,1.205,1.222,1.298
2006,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188
2007,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289
2008,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449
2009,1.303,1.363,1.43,1.478,1.498,1.562,1.505,1.318
2010,1.383,1.271,1.291,1.358,1.303,1.363,1.43,1.478
2011,1.368,1.439,1.413,1.348,1.383,1.271,1.291,1.358
2012,1.311,1.281,1.25,1.297,1.368,1.439,1.413,1.348
2013,1.321,1.306,1.324,1.361,1.311,1.281,1.25,1.297
2014,1.37,1.371,1.326,1.25,1.321,1.306,1.324,1.361
2015,1.126,1.105,1.112,1.095,1.37,1.371,1.326,1.25
2016,1.102,1.129,1.117,1.079,1.126,1.105,1.112,1.095
2017,1.065,1.102,1.175,1.177,1.102,1.129,1.117,1.079
2018,1.229,1.191,1.163,1.141,1.065,1.102,1.175,1.177
2019,1.136,1.124,1.112,1.107,1.229,1.191,1.163,1.141
