Country,Year,GDP Per Capita,Previous Year GDP Per Capita
Austria,2004,36889.234,32294.049
Austria,2005,38417.458,36889.234
Austria,2006,40669.327,38417.458
Austria,2007,46915.337,40669.327
Austria,2008,51919.984,46915.337
Austria,2009,48153.324,51919.984
Austria,2010,46903.762,48153.324
Austria,2011,51442.276,46903.762
Austria,2012,48564.917,51442.276
Austria,2013,50731.127,48564.917
Austria,2014,51786.377,50731.127
Austria,2015,44195.818,51786.377
Austria,2016,45307.588,44195.818
Austria,2017,47429.158,45307.588
Austria,2018,51466.557,47429.158
Austria,2019,50067.586,51466.557
Belgium,2004,35429.408,30655.209
Belgium,2005,36809.701,35429.408
Belgium,2006,38705.107,36809.701
Belgium,2007,44319.165,38705.107
Belgium,2008,48303.398,44319.165
Belgium,2009,44760.291,48303.398
Belgium,2010,44184.946,44760.291
Belgium,2011,47410.567,44184.946
Belgium,2012,44670.561,47410.567
Belgium,2013,46757.952,44670.561
Belgium,2014,47764.072,46757.952
Belgium,2015,41008.297,47764.072
Belgium,2016,42012.623,41008.297
Belgium,2017,44198.482,42012.623
Belgium,2018,47544.981,44198.482
Belgium,2019,46641.721,47544.981
Cyprus,2004,23792.621,20252.238
Cyprus,2005,24959.26,23792.621
Cyprus,2006,26729.324,24959.26
Cyprus,2007,31244.926,26729.324
Cyprus,2008,35397.363,31244.926
Cyprus,2009,32236.535,35397.363
Cyprus,2010,31105.027,32236.535
Cyprus,2011,32485.803,31105.027
Cyprus,2012,28991.93,32485.803
Cyprus,2013,27797.453,28991.93
Cyprus,2014,27244.344,27797.453
Cyprus,2015,23487.219,27244.344
Cyprus,2016,24715.143,23487.219
Cyprus,2017,26697.006,24715.143
Cyprus,2018,29419.887,26697.006
Cyprus,2019,29419.992,29419.887
Czech Republic,2004,11749.853,9818.568
Czech Republic,2005,13430.67,11749.853
Czech Republic,2006,15261.798,13430.67
Czech Republic,2007,18466.548,15261.798
Czech Republic,2008,22804.578,18466.548
