Country,Year,Inflation Rate,Previous Year Inflation Rate
Austria,2004,2.061,1.356
Austria,2005,2.299,2.061
Austria,2006,1.442,2.299
Austria,2007,2.169,1.442
Austria,2008,3.216,2.169
Austria,2009,0.506,3.216
Austria,2010,1.814,0.506
Austria,2011,3.287,1.814
Austria,2012,2.486,3.287
Austria,2013,2.0,2.486
Austria,2014,1.606,2.0
Austria,2015,0.897,1.606
Austria,2016,0.892,0.897
Austria,2017,2.081,0.892
Austria,2018,1.998,2.081
Austria,2019,1.531,1.998
Belgium,2004,2.097,1.589
Belgium,2005,2.781,2.097
Belgium,2006,1.791,2.781
Belgium,2007,1.823,1.791
Belgium,2008,4.489,1.823
Belgium,2009,-0.053,4.489
Belgium,2010,2.189,-0.053
Belgium,2011,3.532,2.189
Belgium,2012,2.84,3.532
Belgium,2013,1.113,2.84
Belgium,2014,0.34,1.113
Belgium,2015,0.561,0.34
Belgium,2016,1.974,0.561
Belgium,2017,2.126,1.974
Belgium,2018,2.053,2.126
Belgium,2019,1.437,2.053
Cyprus,2004,2.286,4.139
Cyprus,2005,2.56,2.286
Cyprus,2006,2.305,2.56
Cyprus,2007,2.373,2.305
Cyprus,2008,4.669,2.373
Cyprus,2009,0.326,4.669
Cyprus,2010,2.43,0.326
Cyprus,2011,3.289,2.43
Cyprus,2012,2.389,3.289
Cyprus,2013,-0.399,2.389
Cyprus,2014,-1.355,-0.399
Cyprus,2015,-2.097,-1.355
Cyprus,2016,-1.429,-2.097
Cyprus,2017,0.532,-1.429
Cyprus,2018,1.435,0.532
Cyprus,2019,0.25,1.435
Czech Republic,2004,2.76,0.119
Czech Republic,2005,1.857,2.76
Czech Republic,2006,2.534,1.857
Czech Republic,2007,2.853,2.534
Czech Republic,2008,6.359,2.853
Czech Republic,2009,1.019,6.359
Czech Republic,2010,1.473,1.019
Czech Republic,2011,1.917,1.473
Czech Republic,2012,3.288,1.917
Czech Republic,2013,1.438,3.288
Czech Republic,2014,0.344,1.438
Czech Republic,2015,0.309,0.344
Czech Republic,2016,0.684,0.309
Czech Republic,2017,2.451,0.684
Czech Republic,2018,2.149,2.451
Czech Republic,2019,2.848,2.149
Denmark,2004,1.154,2.075
Denmark,2005,1.818,1.154
Denmark,2006,1.924,1.818
Denmark,2007,1.693,1.924
Denmark,2008,3.416,1.693
Denmark,2009,1.305,3.416
Denmark,2010,2.311,1.305
Denmark,2011,2.759,2.311
Denmark,2012,2.398,2.759
Denmark,2013,0.789,2.398
Denmark,2014,0.564,0.789
Denmark,2015,0.452,0.564
Denmark,2016,0.25,0.452
Denmark,2017,1.147,0.25
Denmark,2018,0.814,1.147
Denmark,2019,0.758,0.814
Estonia,2004,3.048,1.335
Estonia,2005,4.08,3.048
Estonia,2006,4.438,4.08
Estonia,2007,6.601,4.438
Estonia,2008,10.362,6.601
Estonia,2009,-0.078,10.362
Estonia,2010,2.972,-0.078
Estonia,2011,4.982,2.972
Estonia,2012,3.933,4.982
Estonia,2013,2.781,3.933
Estonia,2014,-0.106,2.781
Estonia,2015,-0.492,-0.106
Estonia,2016,0.149,-0.492
Estonia,2017,3.417,0.149
Estonia,2018,3.436,3.417
Estonia,2019,2.277,3.436
Finland,2004,0.187,0.877
Finland,2005,0.624,0.187
Finland,2006,1.567,0.624
Finland,2007,2.511,1.567
Finland,2008,4.066,2.511
Finland,2009,-0.0,4.066
Finland,2010,1.184,-0.0
Finland,2011,3.417,1.184
Finland,2012,2.808,3.417
Finland,2013,1.478,2.808
Finland,2014,1.041,1.478
Finland,2015,-0.208,1.041
Finland,2016,0.357,-0.208
Finland,2017,0.754,0.357
Finland,2018,1.084,0.754
Finland,2019,1.024,1.084
France,2004,2.142,2.098
France,2005,1.746,2.142
France,2006,1.675,1.746
France,2007,1.488,1.675
France,2008,2.813,1.488
France,2009,0.088,2.813
France,2010,1.531,0.088
France,2011,2.112,1.531
France,2012,1.954,2.112
France,2013,0.864,1.954
France,2014,0.508,0.864
France,2015,0.038,0.508
France,2016,0.183,0.038
France,2017,1.032,0.183
France,2018,1.851,1.032
France,2019,1.108,1.851
Germany,2004,1.666,1.034
Germany,2005,1.547,1.666
Germany,2006,1.577,1.547
Germany,2007,2.298,1.577
Germany,2008,2.628,2.298
Germany,2009,0.313,2.628
Germany,2010,1.104,0.313
Germany,2011,2.075,1.104
Germany,2012,2.008,2.075
Germany,2013,1.505,2.008
Germany,2014,0.907,1.505
Germany,2015,0.514,0.907
Germany,2016,0.492,0.514
Germany,2017,1.509,0.492
Germany,2018,1.732,1.509
Germany,2019,1.446,1.732
Greece,2004,2.899,3.531
Greece,2005,3.545,2.899
Greece,2006,3.196,3.545
Greece,2007,2.895,3.196
Greece,2008,4.153,2.895
Greece,2009,1.21,4.153
Greece,2010,4.713,1.21
Greece,2011,3.33,4.713
Greece,2012,1.502,3.33
Greece,2013,-0.921,1.502
Greece,2014,-1.312,-0.921
Greece,2015,-1.736,-1.312
Greece,2016,-0.826,-1.736
Greece,2017,1.121,-0.826
Greece,2018,0.626,1.121
Greece,2019,0.253,0.626
Hungary,2004,6.744,4.661
Hungary,2005,3.562,6.744
Hungary,2006,3.93,3.562
Hungary,2007,7.959,3.93
Hungary,2008,6.043,7.959
Hungary,2009,4.212,6.043
Hungary,2010,4.856,4.212
Hungary,2011,3.93,4.856
Hungary,2012,5.652,3.93
Hungary,2013,1.733,5.652
Hungary,2014,-0.228,1.733
Hungary,2015,-0.062,-0.228
Hungary,2016,0.395,-0.062
Hungary,2017,2.348,0.395
Hungary,2018,2.85,2.348
Hungary,2019,3.339,2.85
Ireland,2004,2.179,3.492
Ireland,2005,2.457,2.179
Ireland,2006,3.936,2.457
Ireland,2007,4.886,3.936
Ireland,2008,4.036,4.886
Ireland,2009,-4.448,4.036
Ireland,2010,-0.918,-4.448
Ireland,2011,2.549,-0.918
Ireland,2012,1.695,2.549
Ireland,2013,0.515,1.695
Ireland,2014,0.191,0.515
Ireland,2015,-0.331,0.191
Ireland,2016,0.02,-0.331
Ireland,2017,0.362,0.02
Ireland,2018,0.471,0.362
Ireland,2019,0.938,0.471
Italy,2004,2.207,2.673
Italy,2005,1.985,2.207
Italy,2006,2.091,1.985
Italy,2007,1.83,2.091
Italy,2008,3.348,1.83
Italy,2009,0.775,3.348
Italy,2010,1.526,0.775
Italy,2011,2.781,1.526
Italy,2012,3.041,2.781
Italy,2013,1.22,3.041
Italy,2014,0.241,1.22
Italy,2015,0.039,0.241
Italy,2016,-0.094,0.039
Italy,2017,1.227,-0.094
Italy,2018,1.137,1.227
Italy,2019,0.611,1.137
