Country,Year,Net Migration,Previous Year Net Migration
Austria,2004,54.907,44.003
Austria,2005,50.282,54.907
Austria,2006,25.42,50.282
Austria,2007,23.729,25.42
Austria,2008,25.499,23.729
Austria,2009,17.121,25.499
Austria,2010,22.786,17.121
Austria,2011,31.665,22.786
Austria,2012,44.891,31.665
Austria,2013,56.494,44.891
Austria,2014,74.263,56.494
Austria,2015,115.125,74.263
Austria,2016,66.282,115.125
Austria,2017,45.573,66.282
Austria,2018,35.404,45.573
Austria,2019,41.105,35.404
Belgium,2004,43.994,41.479
Belgium,2005,46.28,43.994
Belgium,2006,48.426,46.28
Belgium,2007,50.352,48.426
Belgium,2008,51.937,50.352
Belgium,2009,53.385,51.937
Belgium,2010,54.611,53.385
Belgium,2011,55.511,54.611
Belgium,2012,56.227,55.511
Belgium,2013,56.755,56.227
Belgium,2014,57.103,56.755
Belgium,2015,57.008,57.103
Belgium,2016,56.781,57.008
Belgium,2017,56.248,56.781
Belgium,2018,55.439,56.248
Belgium,2019,54.395,55.439
Cyprus,2004,13.126,13.326
Cyprus,2005,13.237,13.126
Cyprus,2006,12.664,13.237
Cyprus,2007,12.912,12.664
Cyprus,2008,12.489,12.912
Cyprus,2009,12.173,12.489
Cyprus,2010,12.456,12.173
Cyprus,2011,6.134,12.456
Cyprus,2012,4.789,6.134
Cyprus,2013,4.426,4.789
Cyprus,2014,4.467,4.426
Cyprus,2015,4.655,4.467
Cyprus,2016,4.878,4.655
Cyprus,2017,5.014,4.878
Cyprus,2018,4.977,5.014
Cyprus,2019,4.948,4.977
Czech Republic,2004,25.947,25.694
Czech Republic,2005,24.895,25.947
Czech Republic,2006,25.831,24.895
Czech Republic,2007,27.262,25.831
Czech Republic,2008,29.811,27.262
Czech Republic,2009,31.317,29.811
Czech Republic,2010,34.805,31.317
Czech Republic,2011,16.409,34.805
Czech Republic,2012,10.308,16.409
Czech Republic,2013,-1.553,10.308
Czech Republic,2014,5.009,-1.553
Czech Republic,2015,5.297,5.009
Czech Republic,2016,-0.3,5.297
Czech Republic,2017,2.809,-0.3
Czech Republic,2018,3.193,2.809
Czech Republic,2019,4.03,3.193
Denmark,2004,11.366,11.337
Denmark,2005,11.693,11.366
Denmark,2006,12.217,11.693
Denmark,2007,13.067,12.217
Denmark,2008,14.111,13.067
Denmark,2009,15.469,14.111
Denmark,2010,17.037,15.469
Denmark,2011,18.519,17.037
Denmark,2012,19.732,18.519
Denmark,2013,20.779,19.732
Denmark,2014,21.67,20.779
Denmark,2015,22.368,21.67
Denmark,2016,22.859,22.368
Denmark,2017,23.188,22.859
Denmark,2018,23.337,23.188
Denmark,2019,23.305,23.337
Estonia,2004,-3.768,-3.78
Estonia,2005,-5.242,-3.768
Estonia,2006,-5.403,-5.242
Estonia,2007,-2.862,-5.403
Estonia,2008,-1.973,-2.862
Estonia,2009,-1.939,-1.973
Estonia,2010,-3.759,-1.939
Estonia,2011,-3.929,-3.759
Estonia,2012,-3.646,-3.929
Estonia,2013,-2.65,-3.646
Estonia,2014,-0.562,-2.65
Estonia,2015,4.308,-0.562
Estonia,2016,1.164,4.308
Estonia,2017,5.329,1.164
Estonia,2018,7.229,5.329
Estonia,2019,5.41,7.229
Finland,2004,6.872,6.039
Finland,2005,9.406,6.872
