Country,Year,Population,Previous Year Population
Austria,2004,8.172,8.121
Austria,2005,8.228,8.172
Austria,2006,8.269,8.228
Austria,2007,8.295,8.269
Austria,2008,8.321,8.295
Austria,2009,8.343,8.321
Austria,2010,8.363,8.343
Austria,2011,8.392,8.363
Austria,2012,8.43,8.392
Austria,2013,8.48,8.43
Austria,2014,8.546,8.48
Austria,2015,8.643,8.546
Austria,2016,8.737,8.643
Austria,2017,8.798,8.737
Austria,2018,8.841,8.798
Austria,2019,8.88,8.841
Belgium,2004,10.421,10.376
Belgium,2005,10.479,10.421
Belgium,2006,10.548,10.479
Belgium,2007,10.626,10.548
Belgium,2008,10.71,10.626
Belgium,2009,10.796,10.71
Belgium,2010,10.896,10.796
Belgium,2011,11.038,10.896
Belgium,2012,11.107,11.038
Belgium,2013,11.159,11.107
Belgium,2014,11.209,11.159
Belgium,2015,11.274,11.209
Belgium,2016,11.331,11.274
Belgium,2017,11.375,11.331
Belgium,2018,11.427,11.375
Belgium,2019,11.489,11.427
Cyprus,2004,1.019,1.0
Cyprus,2005,1.037,1.019
Cyprus,2006,1.055,1.037
Cyprus,2007,1.074,1.055
Cyprus,2008,1.092,1.074
Cyprus,2009,1.111,1.092
Cyprus,2010,1.13,1.111
Cyprus,2011,1.145,1.13
Cyprus,2012,1.157,1.145
Cyprus,2013,1.167,1.157
Cyprus,2014,1.177,1.167
Cyprus,2015,1.187,1.177
Cyprus,2016,1.198,1.187
Cyprus,2017,1.209,1.198
Cyprus,2018,1.219,1.209
Cyprus,2019,1.229,1.219
Czech Republic,2004,10.197,10.194
Czech Republic,2005,10.211,10.197
Czech Republic,2006,10.239,10.211
Czech Republic,2007,10.299,10.239
Czech Republic,2008,10.385,10.299
Czech Republic,2009,10.444,10.385
Czech Republic,2010,10.474,10.444
Czech Republic,2011,10.496,10.474
Czech Republic,2012,10.511,10.496
Czech Republic,2013,10.514,10.511
Czech Republic,2014,10.525,10.514
Czech Republic,2015,10.546,10.525
Czech Republic,2016,10.566,10.546
Czech Republic,2017,10.594,10.566
Czech Republic,2018,10.63,10.594
Czech Republic,2019,10.672,10.63
Denmark,2004,5.405,5.391
Denmark,2005,5.419,5.405
Denmark,2006,5.437,5.419
Denmark,2007,5.461,5.437
Denmark,2008,5.494,5.461
Denmark,2009,5.523,5.494
Denmark,2010,5.548,5.523
Denmark,2011,5.571,5.548
Denmark,2012,5.592,5.571
Denmark,2013,5.615,5.592
Denmark,2014,5.643,5.615
Denmark,2015,5.683,5.643
Denmark,2016,5.728,5.683
Denmark,2017,5.765,5.728
Denmark,2018,5.794,5.765
Denmark,2019,5.814,5.794
Estonia,2004,1.363,1.371
Estonia,2005,1.355,1.363
Estonia,2006,1.347,1.355
Estonia,2007,1.341,1.347
Estonia,2008,1.337,1.341
Estonia,2009,1.335,1.337
Estonia,2010,1.331,1.335
Estonia,2011,1.327,1.331
Estonia,2012,1.323,1.327
Estonia,2013,1.318,1.323
Estonia,2014,1.315,1.318
Estonia,2015,1.315,1.315
Estonia,2016,1.316,1.315
Estonia,2017,1.317,1.316
Estonia,2018,1.322,1.317
Estonia,2019,1.327,1.322
Finland,2004,5.228,5.213
Finland,2005,5.246,5.228
Finland,2006,5.266,5.246
Finland,2007,5.289,5.266
Finland,2008,5.313,5.289
Finland,2009,5.339,5.313
Finland,2010,5.363,5.339
Finland,2011,5.388,5.363
Finland,2012,5.414,5.388
