,Country,Year,VAT,Previous Year VAT
0,Austria,2004,20.0,20.0
1,Austria,2005,20.0,20.0
2,Austria,2006,20.0,20.0
3,Austria,2007,20.0,20.0
4,Austria,2008,20.0,20.0
5,Austria,2009,20.0,20.0
6,Austria,2010,20.0,20.0
7,Austria,2011,20.0,20.0
8,Austria,2012,20.0,20.0
9,Austria,2013,20.0,20.0
10,Austria,2014,20.0,20.0
11,Austria,2015,20.0,20.0
12,Austria,2016,20.0,20.0
13,Austria,2017,20.0,20.0
14,Austria,2018,20.0,20.0
15,Austria,2019,20.0,20.0
16,Belgium,2004,21.0,21.0
17,Belgium,2005,21.0,21.0
18,Belgium,2006,21.0,21.0
19,Belgium,2007,21.0,21.0
20,Belgium,2008,21.0,21.0
21,Belgium,2009,21.0,21.0
22,Belgium,2010,21.0,21.0
23,Belgium,2011,21.0,21.0
24,Belgium,2012,21.0,21.0
25,Belgium,2013,21.0,21.0
26,Belgium,2014,21.0,21.0
27,Belgium,2015,21.0,21.0
28,Belgium,2016,21.0,21.0
29,Belgium,2017,21.0,21.0
30,Belgium,2018,21.0,21.0
31,Belgium,2019,21.0,21.0
32,Cyprus,2004,15.0,15.0
33,Cyprus,2005,15.0,15.0
34,Cyprus,2006,15.0,15.0
35,Cyprus,2007,15.0,15.0
36,Cyprus,2008,15.0,15.0
37,Cyprus,2009,15.0,15.0
38,Cyprus,2010,15.0,15.0
39,Cyprus,2011,15.0,15.0
40,Cyprus,2012,16.671,15.0
41,Cyprus,2013,17.964,16.671
42,Cyprus,2014,18.967,17.964
43,Cyprus,2015,19.0,18.967
44,Cyprus,2016,19.0,19.0
45,Cyprus,2017,19.0,19.0
46,Cyprus,2018,19.0,19.0
47,Cyprus,2019,19.0,19.0
48,Czech Republic,2004,19.995,22.0
49,Czech Republic,2005,19.0,19.995
50,Czech Republic,2006,19.0,19.0
51,Czech Republic,2007,19.0,19.0
52,Czech Republic,2008,19.0,19.0
53,Czech Republic,2009,19.0,19.0
54,Czech Republic,2010,20.0,19.0
55,Czech Republic,2011,20.0,20.0
56,Czech Republic,2012,20.0,20.0
57,Czech Republic,2013,21.0,20.0
58,Czech Republic,2014,21.0,21.0
59,Czech Republic,2015,21.0,21.0
60,Czech Republic,2016,21.0,21.0
61,Czech Republic,2017,21.0,21.0
62,Czech Republic,2018,21.0,21.0
63,Czech Republic,2019,21.0,21.0
64,Denmark,2004,25.0,25.0
65,Denmark,2005,25.0,25.0
66,Denmark,2006,25.0,25.0
67,Denmark,2007,25.0,25.0
68,Denmark,2008,25.0,25.0
69,Denmark,2009,25.0,25.0
70,Denmark,2010,25.0,25.0
71,Denmark,2011,25.0,25.0
72,Denmark,2012,25.0,25.0
73,Denmark,2013,25.0,25.0
74,Denmark,2014,25.0,25.0
75,Denmark,2015,25.0,25.0
76,Denmark,2016,25.0,25.0
77,Denmark,2017,25.0,25.0
78,Denmark,2018,25.0,25.0
79,Denmark,2019,25.0,25.0
80,Estonia,2004,18.0,18.0
81,Estonia,2005,18.0,18.0
82,Estonia,2006,18.0,18.0
83,Estonia,2007,18.0,18.0
84,Estonia,2008,18.0,18.0
85,Estonia,2009,19.005,18.0
86,Estonia,2010,20.0,19.005
87,Estonia,2011,20.0,20.0
88,Estonia,2012,20.0,20.0
89,Estonia,2013,20.0,20.0
90,Estonia,2014,20.0,20.0
91,Estonia,2015,20.0,20.0
92,Estonia,2016,20.0,20.0
93,Estonia,2017,20.0,20.0
94,Estonia,2018,20.0,20.0
95,Estonia,2019,20.0,20.0
96,Finland,2004,22.0,22.0
97,Finland,2005,22.0,22.0
98,Finland,2006,22.0,22.0
99,Finland,2007,22.0,22.0
100,Finland,2008,22.0,22.0
101,Finland,2009,22.0,22.0
102,Finland,2010,22.0,22.0
103,Finland,2011,23.0,22.0
104,Finland,2012,23.0,23.0
105,Finland,2013,24.0,23.0
106,Finland,2014,24.0,24.0
107,Finland,2015,24.0,24.0
108,Finland,2016,24.0,24.0
109,Finland,2017,24.0,24.0
110,Finland,2018,24.0,24.0
111,Finland,2019,24.0,24.0
112,France,2004,19.6,19.6
113,France,2005,19.6,19.6
114,France,2006,19.6,19.6
115,France,2007,19.6,19.6
116,France,2008,19.6,19.6
117,France,2009,19.6,19.6
118,France,2010,19.6,19.6
119,France,2011,19.6,19.6
120,France,2012,19.6,19.6
121,France,2013,19.6,19.6
122,France,2014,20.0,19.6
123,France,2015,20.0,20.0
124,France,2016,20.0,20.0
125,France,2017,20.0,20.0
126,France,2018,20.0,20.0
127,France,2019,20.0,20.0
128,Germany,2004,16.0,16.0
129,Germany,2005,16.0,16.0
130,Germany,2006,16.0,16.0
131,Germany,2007,19.0,16.0
132,Germany,2008,19.0,19.0
133,Germany,2009,19.0,19.0
