Date,Open,High,Low,Close
02/01/2003,203.18,209.29,209.29,209.29
03/01/2003,209.22,210.38,210.38,210.38
06/01/2003,210.49,210.8,210.8,210.8
07/01/2003,211.17,209.32,209.32,209.32
08/01/2003,209.02,206.33,206.33,206.33
09/01/2003,206.04,207.48,207.48,207.48
10/01/2003,207.39,207.82,207.82,207.82
13/01/2003,207.8,207.62,207.62,207.62
14/01/2003,207.66,208.58,208.58,208.58
15/01/2003,208.85,205.76,205.76,205.76
16/01/2003,205.6,205.61,205.61,205.61
17/01/2003,205.35,200.93,200.93,200.93
20/01/2003,200.78,198.3,198.3,198.3
21/01/2003,198.51,196.28,196.28,196.28
22/01/2003,196.25,192.85,192.85,192.85
23/01/2003,192.98,191.42,191.42,191.42
24/01/2003,191.56,189.62,189.62,189.62
27/01/2003,189.54,183.34,183.34,183.34
28/01/2003,184.01,183.67,183.67,183.67
29/01/2003,183.66,184.35,184.35,184.35
30/01/2003,184.45,188.75,188.75,188.75
31/01/2003,188.31,189,189,189
03/02/2003,189.13,192.12,192.12,192.12
04/02/2003,191.93,186.14,186.14,186.14
05/02/2003,186.12,189.75,189.75,189.75
06/02/2003,189.66,185.43,185.43,185.43
07/02/2003,185.44,183.77,183.77,183.77
10/02/2003,183.96,182.92,182.92,182.92
11/02/2003,183.25,186.93,186.93,186.93
12/02/2003,186.63,183.65,183.65,183.65
13/02/2003,183.25,182.4,182.4,182.4
14/02/2003,182.58,185.29,185.29,185.29
17/02/2003,185.78,188.6,188.6,188.6
18/02/2003,188.69,190.45,190.45,190.45
19/02/2003,190.19,186.07,186.07,186.07
20/02/2003,186.25,184.79,184.79,184.79
21/02/2003,184.79,186.06,186.06,186.06
24/02/2003,186.42,184.18,184.18,184.18
25/02/2003,183.85,178.96,178.96,178.96
26/02/2003,179.69,177.4,177.4,177.4
27/02/2003,177.39,178.84,178.84,178.84
28/02/2003,178.93,181.75,181.75,181.75
03/03/2003,181.77,182.08,182.08,182.08
04/03/2003,181.83,178.5,178.5,178.5
05/03/2003,178.1,176.85,176.85,176.85
06/03/2003,176.93,175.27,175.27,175.27
07/03/2003,174.82,171.77,171.77,171.77
10/03/2003,171.56,167.86,167.86,167.86
11/03/2003,167.93,168,168,168
12/03/2003,168.13,162.59,162.59,162.59
13/03/2003,163.52,171.96,171.96,171.96
14/03/2003,172.11,178.72,178.72,178.72
17/03/2003,178.03,184.29,184.29,184.29
18/03/2003,184.16,184.94,184.94,184.94
19/03/2003,184.94,187.26,187.26,187.26
20/03/2003,186.93,186.35,186.35,186.35
21/03/2003,186.1,192.45,192.45,192.45
24/03/2003,192.17,184.47,184.47,184.47
25/03/2003,184.21,186.74,186.74,186.74
26/03/2003,186.89,186.64,186.64,186.64
27/03/2003,186.64,183.33,183.33,183.33
28/03/2003,183.27,182.71,182.71,182.71
31/03/2003,182.75,176.41,176.41,176.41
01/04/2003,176.38,178.92,178.92,178.92
02/04/2003,179.17,184.46,184.46,184.46
03/04/2003,184.57,186.35,186.35,186.35
04/04/2003,186.26,188.31,188.31,188.31
07/04/2003,188.75,194.79,194.79,194.79
08/04/2003,194.58,191.68,191.68,191.68
09/04/2003,191.46,191.38,191.38,191.38
10/04/2003,191.2,188.17,188.17,188.17
11/04/2003,188.33,189.63,189.63,189.63
14/04/2003,189.73,191.45,191.45,191.45
15/04/2003,191.67,194.52,194.52,194.52
16/04/2003,194.85,192.45,192.45,192.45
17/04/2003,192.32,193.71,193.71,193.71
22/04/2003,193.79,194.6,194.6,194.6
23/04/2003,194.75,197.29,197.29,197.29
24/04/2003,197.22,194.02,194.02,194.02
25/04/2003,193.98,191.62,191.62,191.62
28/04/2003,191.48,196.14,196.14,196.14
29/04/2003,196.24,195.08,195.08,195.08
30/04/2003,195.12,194.88,194.88,194.88
02/05/2003,194.07,195.16,195.16,195.16
05/05/2003,195.27,196.21,196.21,196.21
06/05/2003,196.09,198.92,198.92,198.92
07/05/2003,198.88,196.94,196.94,196.94
08/05/2003,196.84,191.88,191.88,191.88
09/05/2003,191.91,193.64,193.64,193.64
12/05/2003,193.98,193.52,193.52,193.52
13/05/2003,193.75,194.32,194.32,194.32
14/05/2003,194.24,194.52,194.52,194.52
15/05/2003,194.73,197.4,197.4,197.4
16/05/2003,197.4,197.51,197.51,197.51
19/05/2003,196.77,191.17,191.17,191.17
20/05/2003,191.1,192.01,192.01,192.01
21/05/2003,191.87,190.11,190.11,190.11
22/05/2003,190.27,192.75,192.75,192.75
23/05/2003,192.6,191.27,191.27,191.27
26/05/2003,191.42,190.54,190.54,190.54
27/05/2003,190.75,191.67,191.67,191.67
28/05/2003,192.26,195.91,195.91,195.91
29/05/2003,195.88,196.23,196.23,196.23
30/05/2003,196.09,196.54,196.54,196.54
02/06/2003,196.71,200.41,200.41,200.41
03/06/2003,199.79,198.78,198.78,198.78
04/06/2003,199.04,200.92,200.92,200.92
05/06/2003,201.32,199.82,199.82,199.82
06/06/2003,200.22,204.41,204.41,204.41
09/06/2003,204.59,201.79,201.79,201.79
10/06/2003,201.95,202.84,202.84,202.84
11/06/2003,202.96,205.32,205.32,205.32
12/06/2003,205.57,206.59,206.59,206.59
13/06/2003,206.54,203.6,203.6,203.6
16/06/2003,203.63,206.94,206.94,206.94
17/06/2003,207.08,209.06,209.06,209.06
18/06/2003,209.29,210.57,210.57,210.57
19/06/2003,210.82,207.12,207.12,207.12
20/06/2003,207.31,208.71,208.71,208.71
23/06/2003,208.74,205.32,205.32,205.32
24/06/2003,205.22,204.38,204.38,204.38
25/06/2003,204.5,204.99,204.99,204.99
26/06/2003,204.67,204.85,204.85,204.85
27/06/2003,204.75,204.94,204.94,204.94
30/06/2003,205.04,202.94,202.94,202.94
01/07/2003,202.61,198.87,198.87,198.87
02/07/2003,199.29,202.5,202.5,202.5
03/07/2003,202.6,203.79,203.79,203.79
04/07/2003,203.79,203.26,203.26,203.26
07/07/2003,203.79,208.14,208.14,208.14
08/07/2003,207.99,207.78,207.78,207.78
09/07/2003,207.63,206.25,206.25,206.25
10/07/2003,206.41,204.29,204.29,204.29
11/07/2003,204.58,206.65,206.65,206.65
14/07/2003,206.65,209.49,209.49,209.49
15/07/2003,209.01,208.15,208.15,208.15
16/07/2003,208.08,207.02,207.02,207.02
17/07/2003,207.02,205.17,205.17,205.17
18/07/2003,205.05,205.16,205.16,205.16
21/07/2003,205.14,203.45,203.45,203.45
22/07/2003,203.3,204.33,204.33,204.33
23/07/2003,204.02,203.93,203.93,203.93
24/07/2003,203.87,207.47,207.47,207.47
25/07/2003,207.51,205.79,205.79,205.79
28/07/2003,206.02,208.19,208.19,208.19
29/07/2003,208.31,207.42,207.42,207.42
30/07/2003,207.69,208.75,208.75,208.75
31/07/2003,208.75,211.11,211.11,211.11
01/08/2003,211.26,208.77,208.77,208.77
04/08/2003,208.8,207.13,207.13,207.13
05/08/2003,207.21,208.6,208.6,208.6
06/08/2003,208.55,205.68,205.68,205.68
07/08/2003,205.76,206.27,206.27,206.27
08/08/2003,206.27,208,208,208
11/08/2003,207.91,208.58,208.58,208.58
12/08/2003,208.63,209.93,209.93,209.93
13/08/2003,210.25,210.3,210.3,210.3
14/08/2003,210.34,213.13,213.13,213.13
15/08/2003,213.1,213.52,213.52,213.52
18/08/2003,213.7,215.64,215.64,215.64
19/08/2003,215.76,216,216,216
20/08/2003,216,215.26,215.26,215.26
21/08/2003,215.62,217.46,217.46,217.46
22/08/2003,217.38,218.15,218.15,218.15
25/08/2003,218.24,216.53,216.53,216.53
26/08/2003,216.68,214.64,214.64,214.64
27/08/2003,214.64,216.17,216.17,216.17
28/08/2003,216.07,216.99,216.99,216.99
29/08/2003,216.97,214.7,214.7,214.7
01/09/2003,214.84,217.68,217.68,217.68
02/09/2003,217.88,218.66,218.66,218.66
03/09/2003,218.85,222.15,222.15,222.15
04/09/2003,222.39,221.59,221.59,221.59
05/09/2003,221.62,220.17,220.17,220.17
08/09/2003,220.21,221.42,221.42,221.42
09/09/2003,221.21,218.47,218.47,218.47
10/09/2003,218.68,216.72,216.72,216.72
11/09/2003,216.54,217.29,217.29,217.29
12/09/2003,217.37,216,216,216
15/09/2003,216.32,216.76,216.76,216.76
16/09/2003,216.86,219.13,219.13,219.13
17/09/2003,219.22,219.74,219.74,219.74
18/09/2003,219.78,221.44,221.44,221.44
19/09/2003,221.51,219.39,219.39,219.39
22/09/2003,219.42,215.61,215.61,215.61
23/09/2003,215.63,214.83,214.83,214.83
24/09/2003,214.8,214.77,214.77,214.77
25/09/2003,214.67,213.21,213.21,213.21
26/09/2003,213.27,211.67,211.67,211.67
29/09/2003,211.8,210.45,210.45,210.45
30/09/2003,210.32,206.86,206.86,206.86
01/10/2003,206.77,209.76,209.76,209.76
02/10/2003,209.9,210.91,210.91,210.91
03/10/2003,210.98,216.13,216.13,216.13
06/10/2003,216.2,215,215,215
07/10/2003,215.05,213.2,213.2,213.2
08/10/2003,212.98,213.19,213.19,213.19
09/10/2003,213.4,217.34,217.34,217.34
10/10/2003,217.16,216.07,216.07,216.07
13/10/2003,216.51,219.88,219.88,219.88
14/10/2003,219.89,219.23,219.23,219.23
15/10/2003,219.49,221.37,221.37,221.37
16/10/2003,221.5,220.7,220.7,220.7
17/10/2003,220.94,220.13,220.13,220.13
20/10/2003,219.91,220.04,220.04,220.04
21/10/2003,220.19,220.31,220.31,220.31
22/10/2003,220.14,216.59,216.59,216.59
23/10/2003,216.39,215.02,215.02,215.02
24/10/2003,214.91,214.66,214.66,214.66
27/10/2003,215.3,216.61,216.61,216.61
28/10/2003,217.04,218.93,218.93,218.93
29/10/2003,219.2,219.72,219.72,219.72
30/10/2003,219.59,221.44,221.44,221.44
31/10/2003,221.25,221.53,221.53,221.53
03/11/2003,221.56,225,225,225
04/11/2003,224.76,224.02,224.02,224.02
