Country,Year,Start Date,End Date,VAT
Austria,2003,01/01/2003,31/12/2003,20
Austria,2004,01/01/2004,31/12/2004,20
Austria,2005,01/01/2005,31/12/2005,20
Austria,2006,01/01/2006,31/12/2006,20
Austria,2007,01/01/2007,31/12/2007,20
Austria,2008,01/01/2008,31/12/2008,20
Austria,2009,01/01/2009,31/12/2009,20
Austria,2010,01/01/2010,31/12/2010,20
Austria,2011,01/01/2011,31/12/2011,20
Austria,2012,01/01/2012,31/12/2012,20
Austria,2013,01/01/2013,31/12/2013,20
Austria,2014,01/01/2014,31/12/2014,20
Austria,2015,01/01/2015,31/12/2015,20
Austria,2016,01/01/2016,31/12/2016,20
Austria,2017,01/01/2017,31/12/2017,20
Austria,2018,01/01/2018,31/12/2018,20
Austria,2019,01/01/2019,31/12/2019,20
Belgium,2003,01/01/2003,31/12/2003,21
Belgium,2004,01/01/2004,31/12/2004,21
Belgium,2005,01/01/2005,31/12/2005,21
Belgium,2006,01/01/2006,31/12/2006,21
Belgium,2007,01/01/2007,31/12/2007,21
Belgium,2008,01/01/2008,31/12/2008,21
Belgium,2009,01/01/2009,31/12/2009,21
Belgium,2010,01/01/2010,31/12/2010,21
Belgium,2011,01/01/2011,31/12/2011,21
Belgium,2012,01/01/2012,31/12/2012,21
Belgium,2013,01/01/2013,31/12/2013,21
Belgium,2014,01/01/2014,31/12/2014,21
Belgium,2015,01/01/2015,31/12/2015,21
Belgium,2016,01/01/2016,31/12/2016,21
Belgium,2017,01/01/2017,31/12/2017,21
Belgium,2018,01/01/2018,31/12/2018,21
Belgium,2019,01/01/2019,31/12/2019,21
Cyprus,2003,01/01/2003,31/12/2003,15
Cyprus,2004,01/01/2004,31/12/2004,15
Cyprus,2005,01/01/2005,31/12/2005,15
Cyprus,2006,01/01/2006,31/12/2006,15
Cyprus,2007,01/01/2007,31/12/2007,15
Cyprus,2008,01/01/2008,31/12/2008,15
Cyprus,2009,01/01/2009,31/12/2009,15
Cyprus,2010,01/01/2010,31/12/2010,15
Cyprus,2011,01/01/2011,31/12/2011,15
Cyprus,2012,01/01/2012,01/03/2012,15
Cyprus,2012,01/03/2012,31/12/2012,17
Cyprus,2013,01/01/2013,14/01/2013,17
Cyprus,2013,14/01/2013,31/12/2013,18
Cyprus,2014,01/01/2014,13/01/2014,18
Cyprus,2014,13/01/2014,31/12/2014,19
Cyprus,2015,01/01/2015,31/12/2015,19
Cyprus,2016,01/01/2016,31/12/2016,19
Cyprus,2017,01/01/2017,31/12/2017,19
Cyprus,2018,01/01/2018,31/12/2018,19
Cyprus,2019,01/01/2019,31/12/2019,19
Czech Republic,2003,01/01/2003,31/12/2003,22
Czech Republic,2004,01/01/2004,01/05/2004,22
Czech Republic,2004,01/05/2004,31/12/2004,19
Czech Republic,2005,01/01/2005,31/12/2005,19
Czech Republic,2006,01/01/2006,31/12/2006,19
Czech Republic,2007,01/01/2007,31/12/2007,19
Czech Republic,2008,01/01/2008,31/12/2008,19
Czech Republic,2009,01/01/2009,31/12/2009,19
