Country,Year,Is Election Year,Years Since Last Election,Inflation Rate,Previous Year Inflation Rate,GDP Per Capita,Previous Year GDP Per Capita,Currency is Euro,Previous Year Currency is Euro,Net Migration,Previous Year Net Migration,Population,Previous Year Population,Unemployment Rate,Previous Year Unemployment Rate,VAT,Previous Year VAT,EURO600 Q1,EURO600 Q2,EURO600 Q3,EURO600 Q4,Previous Year EURO600 Q1,Previous Year EURO600 Q2,Previous Year EURO600 Q3,Previous Year EURO600 Q4,S&P500 Q1,S&P500 Q2,S&P500 Q3,S&P500 Q4,Previous Year S&P500 Q1,Previous Year S&P500 Q2,Previous Year S&P500 Q3,Previous Year S&P500 Q4,Crude Oil Q1,Crude Oil Q2,Crude Oil Q3,Crude Oil Q4,Previous Year Crude Oil Q1,Previous Year Crude Oil Q2,Previous Year Crude Oil Q3,Previous Year Crude Oil Q4,EUR-USD Exchange Rate Q1,EUR-USD Exchange Rate Q2,EUR-USD Exchange Rate Q3,EUR-USD Exchange Rate Q4,Previous Year EUR-USD Exchange Rate Q1,Previous Year EUR-USD Exchange Rate Q2,Previous Year EUR-USD Exchange Rate Q3,Previous Year EUR-USD Exchange Rate Q4,ECB Interest Rate,Previous Year ECB Interest Rate
Austria,2004,0,2,2.061,1.356,36889.234,32294.049,1,1,54.907,44.003,8.172,8.121,5.969,4.785,20.0,20.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Belgium,2004,0,1,2.097,1.589,35429.408,30655.209,1,1,43.994,41.479,10.421,10.376,7.363,7.68,21.0,21.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Cyprus,2004,0,3,2.286,4.139,23792.621,20252.238,0,0,13.126,13.326,1.019,1.0,4.77,4.153,15.0,15.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Czech Republic,2004,0,2,2.76,0.119,11749.853,9818.568,0,0,25.947,25.694,10.197,10.194,8.298,7.777,19.995,22.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Denmark,2004,0,3,1.154,2.075,46511.598,40458.777,0,0,11.366,11.337,5.405,5.391,5.204,5.398,25.0,25.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Estonia,2004,0,1,3.048,1.335,8914.104,7203.523,0,0,-3.768,-3.78,1.363,1.371,10.248,11.288,18.0,18.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Finland,2004,0,1,0.187,0.877,37772.178,32927.68,1,1,6.872,6.039,5.228,5.213,10.358,10.469,22.0,22.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
France,2004,0,2,2.142,2.098,33797.162,29627.924,1,1,154.947,148.696,62.716,62.257,8.914,8.307,19.6,19.6,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Germany,2004,0,2,1.666,1.034,34106.658,30310.358,1,1,73.107,54.381,82.516,82.534,10.727,9.779,16.0,16.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
Greece,2004,1,4,2.899,3.531,21995.478,18518.379,1,1,-1.102,7.095,10.955,10.928,10.628,9.839,18.0,18.0,238.027,240.424,235.231,245.879,188.13,196.806,211.703,221.874,1132.671,1123.196,1103.908,1162.652,860.76,937.995,1000.38,1056.453,35.25,38.284,43.892,48.272,33.801,28.909,30.211,31.16,1.25,1.205,1.222,1.298,1.073,1.137,1.125,1.189,2.0,2.259
